NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.778649056,1.745158452,1.530119178,1.860538635,1.893868308,1.908511516,1.909144553,1.851318949,1.893252718,1.871475108,1.8379165,1.358610153,1.672123531,1.605256861,1.694071472,1.816119425,1.90056992,1.79013638,1.830980963,1.799482024,1.774050038,1.79626287,1.777270955,1.793466633,1.820623762,1.828295299,1.855177363,1.881328721,1.875576307,1.93379735
JD,1.778649056,0,1.801164949,1.862855491,1.775312684,1.825526974,1.837586378,1.854913338,1.783029697,1.835888878,1.828838035,1.936207613,1.888253787,1.951075331,1.934601086,2.015710741,2.087779051,2.164055436,1.994577863,2.054831125,2.010961628,1.978582966,1.963719001,1.953151339,1.988768385,1.997579381,1.957291639,2.003509193,2.034294715,1.999449722,2.052077338
DG,1.745158452,1.801164949,0,1.725761622,1.88719574,1.915026893,1.924869543,1.926233589,1.855376746,1.881974703,1.837940874,1.901166077,1.830006707,1.82872653,1.833599095,1.922628107,1.994491583,2.084845106,1.894104582,1.974186249,1.931777353,1.900296109,1.886309504,1.882888048,1.917709264,1.93269261,1.906843575,1.949097158,1.980123525,1.955350717,2.013145858
LH,1.530119178,1.862855491,1.725761622,0,1.907609652,1.934216429,1.947543013,1.944003705,1.885153571,1.919592128,1.888541764,1.835846326,1.56827534,1.548295536,1.546141291,1.667986585,1.780370718,1.896460132,1.739003584,1.810702314,1.778457613,1.752744836,1.770540277,1.759872389,1.779848539,1.809497278,1.820023643,1.847347077,1.874854715,1.87105319,1.931963839
GQC,1.860538635,1.775312684,1.88719574,1.907609652,0,1.26205347,1.327105935,1.419088477,1.41562063,1.57524798,1.657003099,1.786248824,1.938675316,1.951444166,1.939884016,2.011472632,2.062462318,2.12473891,1.946160964,1.999103296,1.948675796,1.912553314,1.881206669,1.868112108,1.912869431,1.908497536,1.834806465,1.892903129,1.925524766,1.86904386,1.914661391
NQ,1.893868308,1.825526974,1.915026893,1.934216429,1.26205347,0,1.138549555,1.268058553,1.355700562,1.550057317,1.651535946,1.7937227,1.96813917,1.973336265,1.962933253,2.033673789,2.082212407,2.143448222,1.96271454,2.015792261,1.96463259,1.928088291,1.89445378,1.881709034,1.927665068,1.922089791,1.844933743,1.90459798,1.937587383,1.87904388,1.924539548
GLG,1.908511516,1.837586378,1.924869543,1.947543013,1.327105935,1.138549555,0,1.277897425,1.287139008,1.525676214,1.643432036,1.813373479,1.982811654,1.987160829,1.977287116,2.048361708,2.097157593,2.159152642,1.97737486,2.031631294,1.980601053,1.944128488,1.910389142,1.898344279,1.944268784,1.939237519,1.863220751,1.922722752,1.955794128,1.898168181,1.944363402
LBH,1.909144553,1.854913338,1.926233589,1.944003705,1.419088477,1.268058553,1.277897425,0,1.327545868,1.520630039,1.635508444,1.787958452,1.980242954,1.979174841,1.969751437,2.039801823,2.086315092,2.146758163,1.964075732,2.017416173,1.965651039,1.92875617,1.893108486,1.880801333,1.927795253,1.921284862,1.841292359,1.902342359,1.935683006,1.875510518,1.921093381
YS,1.851318949,1.783029697,1.855376746,1.885153571,1.41562063,1.355700562,1.287139008,1.327545868,0,1.325840121,1.511812727,1.758727916,1.924332143,1.924193601,1.91590759,1.987432165,2.035957575,2.099289268,1.914431647,1.971382055,1.920393428,1.883939281,1.849212064,1.838838707,1.88508364,1.880858697,1.806286607,1.865885821,1.899243585,1.843007849,1.890665186
XW,1.893252718,1.835888878,1.881974703,1.919592128,1.57524798,1.550057317,1.525676214,1.520630039,1.325840121,0,1.406868065,1.800853744,1.964001235,1.956977483,1.950936341,2.022905804,2.070709182,2.13563406,1.946388971,2.006939525,1.955905294,1.919418906,1.883104419,1.874974082,1.921778685,1.918451815,1.845462972,1.9052632,1.939008177,1.884407915,1.933865339
SQ,1.871475108,1.828838035,1.837940874,1.888541764,1.657003099,1.651535946,1.643432036,1.635508444,1.511812727,1.406868065,0,1.789978329,1.94012424,1.925201024,1.922290431,1.995318999,2.043007165,2.110820121,1.91575584,1.981783344,1.931006087,1.894664172,1.85715905,1.852114741,1.899144461,1.897666552,1.828806903,1.887923352,1.921986835,1.870777912,1.922653385
JEM,1.8379165,1.936207613,1.901166077,1.835846326,1.786248824,1.7937227,1.813373479,1.787958452,1.758727916,1.800853744,1.789978329,0,1.86911932,1.813685758,1.800386715,1.852387608,1.866355965,1.893916095,1.722231724,1.738282884,1.674270385,1.630224829,1.570996299,1.538483376,1.604217921,1.566385417,1.359632176,1.487428921,1.532999173,1.379952797,1.437598876
XDQ,1.358610153,1.888253787,1.830006707,1.56827534,1.938675316,1.96813917,1.982811654,1.980242954,1.924332143,1.964001235,1.94012424,1.86911932,0,1.663651296,1.554719703,1.633380217,1.783338886,1.864478895,1.79258742,1.816498346,1.79057357,1.768174159,1.806789348,1.782303804,1.789848478,1.823926376,1.849431892,1.868910887,1.893051162,1.897853533,1.957643809
