NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.434792048,1.409638535,1.335560638,1.612040393,1.655188403,1.645881816,1.627966761,1.593686675,1.602071431,1.540963312,1.719032326,1.295985131,1.411715878,1.512820803,1.618514538,1.498169458,2.003750955,1.504932664,1.63744935,1.635032085,1.690408365,1.575777715,1.6676239,1.797287081,1.921498743,1.732342501,2.122089098,2.074821726,1.797728581,1.75008043
JD,1.434792048,0,1.266760577,1.415661447,1.346258896,1.403466956,1.392232901,1.387492498,1.342303837,1.360819434,1.311717116,1.605900907,1.557596901,1.448728007,1.592849769,1.693821466,1.533047284,2.039506413,1.485298413,1.637654735,1.624627527,1.673303772,1.525445409,1.624360568,1.770998358,1.879279285,1.648076553,2.053998972,2.011822849,1.709064926,1.656707703
DG,1.409638535,1.266760577,0,1.303804841,1.443131818,1.481727551,1.468743701,1.451437652,1.407212675,1.403841565,1.326098361,1.583498574,1.510013495,1.348957111,1.508890515,1.616451973,1.455528673,1.973391309,1.403395517,1.569821812,1.55824357,1.608010906,1.462803876,1.567774161,1.713853246,1.829011133,1.61084406,2.014351753,1.973268432,1.678493088,1.631075464
LH,1.335560638,1.415661447,1.303804841,0,1.563496364,1.600916638,1.590469908,1.569304415,1.533955187,1.535789844,1.467041961,1.631951697,1.391183175,1.215244691,1.366490574,1.501776047,1.374241243,1.909773878,1.369917909,1.527265041,1.524599455,1.580105239,1.46352272,1.563629552,1.697311078,1.826406264,1.639417801,2.03152358,1.987497591,1.709868199,1.665420863
GQC,1.612040393,1.346258896,1.443131818,1.563496364,0,1.060204234,1.094451022,1.149030386,1.163335396,1.270207289,1.290598989,1.598782997,1.708673075,1.564030981,1.711916479,1.8061856,1.6306138,2.129381649,1.565788076,1.714762944,1.696480478,1.74169183,1.57904929,1.675550488,1.829415933,1.925782084,1.666359611,2.081001151,2.040074161,1.719578732,1.660896551
NQ,1.655188403,1.403466956,1.481727551,1.600916638,1.060204234,0,0.949754569,1.035675538,1.129182872,1.265648794,1.302058724,1.619793304,1.748367257,1.597694218,1.746501867,1.840139551,1.662675939,2.16095763,1.595314654,1.744584534,1.725667941,1.770462582,1.605706404,1.702459019,1.85738451,1.952629252,1.690038295,2.106021429,2.065485921,1.743108169,1.684289051
GLG,1.645881816,1.392232901,1.468743701,1.590469908,1.094451022,0.949754569,0,1.026186884,1.055827933,1.228085711,1.276341152,1.615257959,1.739093474,1.587664205,1.736866565,1.830771446,1.653497755,2.152352105,1.585980864,1.736078467,1.717287283,1.762167896,1.597467789,1.694816962,1.849720103,1.945569803,1.684090009,2.099991389,2.059605785,1.738039613,1.679894046
LBH,1.627966761,1.387492498,1.451437652,1.569304415,1.149030386,1.035675538,1.026186884,0,1.070314521,1.204628274,1.251047495,1.57539783,1.718459569,1.563077057,1.712608977,1.805747931,1.626791568,2.124721221,1.557377866,1.706953921,1.687536908,1.732001921,1.565500881,1.662551418,1.818350917,1.912765795,1.647696272,2.064817738,2.024643993,1.700831905,1.642053381
YS,1.593686675,1.342303837,1.407212675,1.533955187,1.163335396,1.129182872,1.055827933,1.070314521,0,1.071213359,1.169999003,1.566660451,1.685828934,1.530796924,1.681172195,1.775457022,1.597989318,2.097945504,1.529306143,1.681333327,1.662617674,1.707556452,1.542326953,1.641062175,1.796238427,1.893062657,1.633088584,2.049174595,2.009219565,1.68887975,1.632124354
XW,1.602071431,1.360819434,1.403841565,1.535789844,1.270207289,1.265648794,1.228085711,1.204628274,1.071213359,0,1.068372219,1.5754862,1.692062052,1.531178569,1.683258967,1.777873788,1.599737216,2.100995145,1.528970445,1.683582939,1.664833699,1.709762712,1.543434341,1.644011024,1.799734177,1.897586708,1.63904767,2.05552448,2.016160773,1.697103554,1.642025664
SQ,1.540963312,1.311717116,1.326098361,1.467041961,1.290598989,1.302058724,1.276341152,1.251047495,1.169999003,1.068372219,0,1.5254016,1.629160425,1.46199746,1.616322575,1.711765325,1.533528045,2.036980782,1.460911503,1.619245063,1.600772231,1.645905902,1.479219194,1.582232062,1.738130326,1.838006128,1.583326163,1.999434338,1.960613362,1.644374628,1.591493773
JEM,1.719032326,1.605900907,1.583498574,1.631951697,1.598782997,1.619793304,1.615257959,1.57539783,1.566660451,1.5754862,1.5254016,0,1.773466015,1.578053574,1.724179987,1.802502245,1.597683052,2.072023047,1.508874606,1.631094728,1.600088698,1.636645563,1.44291996,1.519981075,1.692815536,1.752995473,1.362487803,1.839286363,1.811317724,1.394414836,1.345225038
XDQ,1.295985131,1.557596901,1.510013495,1.391183175,1.708673075,1.748367257,1.739093474,1.718459569,1.685828934,1.692062052,1.629160425,1.773466015,0,1.425485258,1.485897169,1.58125929,1.488743466,1.988158271,1.529212089,1.645065708,1.648395226,1.7072246,1.608946455,1.69619678,1.817573615,1.948913745,1.776663976,2.159962588,2.110579817,1.843227154,1.79707512
NMQ,1.411715878,1.448728007,1.348957111,1.215244691,1.564030981,1.597694218,1.587664205,1.563077057,1.530796924,1.531178569,1.46199746,1.578053574,1.425485258,0,1.220537879,1.373095388,1.222149005,1.80089799,1.232853077,1.40843334,1.409934197,1.468623447,1.368309043,1.47073533,1.600651699,1.740689763,1.571888158,1.959327835,1.915847637,1.64667706,1.605579803
JC,1.512820803,1.592849769,1.508890515,1.366490574,1.711916479,1.746501867,1.736866565,1.712608977,1.681172195,1.683258967,1.616322575,1.724179987,1.485897169,1.220537879,0,1.309010621,1.29246108,1.874835715,1.398044102,1.521090965,1.53173305,1.595329498,1.516016057,1.607676553,1.72639947,1.871809946,1.71513851,2.096884602,2.050409354,1.787844171,1.745954469
MEK,1.618514538,1.693821466,1.616451973,1.501776047,1.8061856,1.840139551,1.830771446,1.805747931,1.775457022,1.777873788,1.711765325,1.802502245,1.58125929,1.373095388,1.309010621,0,1.288782872,1.878653144,1.471472375,1.557473016,1.576781411,1.645078068,1.585007909,1.669686179,1.779156673,1.931672674,1.788060262,2.164920569,2.116698093,1.860630127,1.819165317
HY,1.498169458,1.533047284,1.455528673,1.374241243,1.6306138,1.662675939,1.653497755,1.626791568,1.597989318,1.599737216,1.533528045,1.597683052,1.488743466,1.222149005,1.29246108,1.288782872,0,1.643036847,1.225360807,1.277325384,1.308111256,1.383444435,1.352162554,1.433774321,1.536906995,1.702053115,1.574326715,1.947545834,1.900014409,1.649720326,1.610486234
MNG,2.003750955,2.039506413,1.973391309,1.909773878,2.129381649,2.16095763,2.152352105,2.124721221,2.097945504,2.100995145,2.036980782,2.072023047,1.988158271,1.80089799,1.874835715,1.878653144,1.643036847,0,1.771095994,1.6883272,1.743601638,1.829933564,1.837705363,1.888019062,1.948520202,2.13026771,2.039597238,2.396230267,2.339290947,2.109591995,2.068648733
JZ,1.504932664,1.485298413,1.403395517,1.369917909,1.565788076,1.595314654,1.585980864,1.557377866,1.529306143,1.528970445,1.460911503,1.508874606,1.529212089,1.232853077,1.398044102,1.471472375,1.225360807,1.771095994,0,1.30297248,1.284344762,1.333469389,1.212176274,1.342568785,1.489934175,1.636868311,1.482558742,1.868637151,1.830065023,1.566817814,1.531946081
RK,1.63744935,1.637654735,1.569821812,1.527265041,1.714762944,1.744584534,1.736078467,1.706953921,1.681333327,1.683582939,1.619245063,1.631094728,1.645065708,1.40843334,1.521090965,1.557473016,1.277325384,1.6883272,1.30297248,0,1.06563406,1.221462169,1.350440785,1.389431876,1.437970987,1.657310031,1.588114248,1.944619516,1.893873078,1.665104461,1.62870358
HH,1.635032085,1.624627527,1.55824357,1.524599455,1.696480478,1.725667941,1.717287283,1.687536908,1.662617674,1.664833699,1.600772231,1.600088698,1.648395226,1.409934197,1.53173305,1.576781411,1.308111256,1.743601638,1.284344762,1.06563406,0,1.018040171,1.301126024,1.325299721,1.371444848,1.607063913,1.551376413,1.90582124,1.85699802,1.630781629,1.596146956
JZX,1.690408365,1.673303772,1.608010906,1.580105239,1.74169183,1.770462582,1.762167896,1.732001921,1.707556452,1.709762712,1.645905902,1.636645563,1.7072246,1.468623447,1.595329498,1.645078068,1.383444435,1.829933564,1.333469389,1.221462169,1.018040171,0,1.323065607,1.333455193,1.39381283,1.631709124,1.583715688,1.93718705,1.890324046,1.665188084,1.63197044
HN,1.575777715,1.525445409,1.462803876,1.46352272,1.57904929,1.605706404,1.597467789,1.565500881,1.542326953,1.543434341,1.479219194,1.44291996,1.608946455,1.368309043,1.516016057,1.585007909,1.352162554,1.837705363,1.212176274,1.350440785,1.301126024,1.323065607,0,1.195816101,1.430958491,1.544452778,1.380832268,1.770742267,1.745551634,1.483478999,1.459442104
XH,1.6676239,1.624360568,1.567774161,1.563629552,1.675550488,1.702459019,1.694816962,1.662551418,1.641062175,1.644011024,1.582232062,1.519981075,1.69619678,1.47073533,1.607676553,1.669686179,1.433774321,1.888019062,1.342568785,1.389431876,1.325299721,1.333455193,1.195816101,0,1.35294531,1.44518774,1.435305176,1.773369544,1.740688116,1.528380693,1.504159835
LT,1.797287081,1.770998358,1.713853246,1.697311078,1.829415933,1.85738451,1.849720103,1.818350917,1.796238427,1.799734177,1.738130326,1.692815536,1.817573615,1.600651699,1.72639947,1.779156673,1.536906995,1.948520202,1.489934175,1.437970987,1.371444848,1.39381283,1.430958491,1.35294531,0,1.539598326,1.625208299,1.946393013,1.885877752,1.699130446,1.664748304
LX,1.921498743,1.879279285,1.829011133,1.826406264,1.925782084,1.952629252,1.945569803,1.912765795,1.893062657,1.897586708,1.838006128,1.752995473,1.948913745,1.740689763,1.871809946,1.931672674,1.702053115,2.13026771,1.636868311,1.657310031,1.607063913,1.631709124,1.544452778,1.44518774,1.539598326,0,1.664994534,1.940816951,1.870090628,1.734270129,1.702171728
DY,1.732342501,1.648076553,1.61084406,1.639417801,1.666359611,1.690038295,1.684090009,1.647696272,1.633088584,1.63904767,1.583326163,1.362487803,1.776663976,1.571888158,1.71513851,1.788060262,1.574326715,2.039597238,1.482558742,1.588114248,1.551376413,1.583715688,1.380832268,1.435305176,1.625208299,1.664994534,0,1.689066854,1.709965092,1.274564862,1.333427943
HZ,2.122089098,2.053998972,2.014351753,2.03152358,2.081001151,2.106021429,2.099991389,2.064817738,2.049174595,2.05552448,1.999434338,1.839286363,2.159962588,1.959327835,2.096884602,2.164920569,1.947545834,2.396230267,1.868637151,1.944619516,1.90582124,1.93718705,1.770742267,1.773369544,1.946393013,1.940816951,1.689066854,0,1.818874958,1.739638024,1.735554468
GL,2.074821726,2.011822849,1.973268432,1.987497591,2.040074161,2.065485921,2.059605785,2.024643993,2.009219565,2.016160773,1.960613362,1.811317724,2.110579817,1.915847637,2.050409354,2.116698093,1.900014409,2.339290947,1.830065023,1.893873078,1.85699802,1.890324046,1.745551634,1.740688116,1.885877752,1.870090628,1.709965092,1.818874958,0,1.728153848,1.68842078
DL,1.797728581,1.709064926,1.678493088,1.709868199,1.719578732,1.743108169,1.738039613,1.700831905,1.68887975,1.697103554,1.644374628,1.394414836,1.843227154,1.64667706,1.787844171,1.860630127,1.649720326,2.109591995,1.566817814,1.665104461,1.630781629,1.665188084,1.483478999,1.528380693,1.699130446,1.734270129,1.274564862,1.739638024,1.728153848,0,1.206346883
YZ,1.75008043,1.656707703,1.631075464,1.665420863,1.660896551,1.684289051,1.679894046,1.642053381,1.632124354,1.642025664,1.591493773,1.345225038,1.79707512,1.605579803,1.745954469,1.819165317,1.610486234,2.068648733,1.531946081,1.62870358,1.596146956,1.63197044,1.459442104,1.504159835,1.664748304,1.702171728,1.333427943,1.735554468,1.68842078,1.206346883,0
