NAME,LX,DY,JEM,HZ,GL,DL,YZ
LX,0,236.562236480976,370.896971430592,173.930579816907,183.37504015569,296.995018937697,366.40159928072
DY,236.562236480976,0,139.031059641734,114.214240795034,167.154203013606,92.0004102774187,170.799579434697
JEM,370.896971430592,139.031059641734,0,247.111712557477,294.608903353621,146.492322306363,182.510681522813
HZ,173.930579816907,114.214240795034,247.111712557477,0,55.1087707453087,132.195402282887,193.991114363399
GL,183.37504015569,167.154203013606,294.608903353621,55.1087707453087,0,164.918619381396,210.164707301609
DL,296.995018937697,92.0004102774187,146.492322306363,132.195402282887,164.918619381396,0,79.3632402861063
YZ,366.40159928072,170.799579434697,182.510681522813,193.991114363399,210.164707301609,79.3632402861063,0
