NAME,JD,GQC,NQ,GLG,LBH,YS,XW,SQ
JD,0,3.827448552,3.999068011,3.711346969,4.284435037,3.470900851,3.700986524,3.626998768
GQC,3.827448552,0,2.019535891,1.856127919,2.627534668,2.201940852,2.759014871,3.08468457
NQ,3.999068011,2.019535891,0,1.411061921,2.166399211,2.04353786,2.66964401,3.043978024
GLG,3.711346969,1.856127919,1.411061921,0,1.963332792,1.647053302,2.321339911,2.714792666
LBH,4.284435037,2.627534668,2.166399211,1.963332792,0,2.1352422,2.772507991,3.173698705
YS,3.470900851,2.201940852,2.04353786,1.647053302,2.1352422,0,1.674191912,2.189662029
XW,3.700986524,2.759014871,2.66964401,2.321339911,2.772507991,1.674191912,0,1.955349017
SQ,3.626998768,3.08468457,3.043978024,2.714792666,3.173698705,2.189662029,1.955349017,0
