NAME,JD,GQC,NQ,GLG,LBH,YS,XW,SQ
JD,0,0.179305,0.339868,0.0396069999999999,0.484501,0.068024,0.062104,0.075024
GQC,0.179305,0,0.160563,0.218912,0.305196,0.247329,0.117201,0.254329
NQ,0.339868,0.160563,0,0.379475,0.144633,0.407892,0.277764,0.414892
GLG,0.0396069999999999,0.218912,0.379475,0,0.524108,0.028417,0.101711,0.035417
LBH,0.484501,0.305196,0.144633,0.524108,0,0.552525,0.422397,0.559525
YS,0.068024,0.247329,0.407892,0.028417,0.552525,0,0.130128,0.00700000000000001
XW,0.062104,0.117201,0.277764,0.101711,0.422397,0.130128,0,0.137128
SQ,0.075024,0.254329,0.414892,0.035417,0.559525,0.00700000000000001,0.137128,0
