NAME,GLG,GQC,JD,NQ,LBH,SQ,XW,YS
GLG,0,0.10806,0.27199,0.11585,0.12477,0.18202,0.24982,0.08113
GQC,0.10806,0,0.25804,0.10594,0.18323,0.22908,0.28755,0.13969
JD,0.27199,0.25804,0,0.22119,0.26567,0.23336,0.24075,0.23187
NQ,0.11585,0.10594,0.22119,0,0.14757,0.19931,0.25199,0.11297
LBH,0.12477,0.18323,0.26567,0.14757,0,0.19337,0.25305,0.10388
SQ,0.18202,0.22908,0.23336,0.19931,0.19337,0,0.07861,0.1669
XW,0.24982,0.28755,0.24075,0.25199,0.25305,0.07861,0,0.17577
YS,0.08113,0.13969,0.23187,0.11297,0.10388,0.1669,0.17577,0
