"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"RK",0.208996,0.020915,0.364767,0.209649,0.109263,0.032133,0.075682,0.137187,0.085672,0.133932,0.307383,0.333773,0.320437,0.343157,0.294231,0.255978,0.199728,0.107543,0,0.0561320000000001,0.089263,0.257905,0.23279,0.151772,0.270927,0.01461,0.133872,0.34204,0.28541,0.346311,0.084294
"HH",0.152864,0.0352170000000001,0.308635,0.153517,0.0531309999999999,0.088265,0.131814,0.193319,0.141804,0.190064,0.251251,0.277641,0.264305,0.287025,0.238099,0.199846,0.143596,0.051411,0.0561320000000001,0,0.0331309999999999,0.201773,0.176658,0.0956399999999999,0.214795,0.0415220000000001,0.190004,0.285908,0.229278,0.290179,0.0281619999999999
"JZX",0.119733,0.068348,0.275504,0.120386,0.02,0.121396,0.164945,0.22645,0.174935,0.223195,0.21812,0.24451,0.231174,0.253894,0.204968,0.166715,0.110465,0.0182800000000001,0.089263,0.0331309999999999,0,0.168642,0.143527,0.062509,0.181664,0.074653,0.223135,0.252777,0.196147,0.257048,0.004969
"HN",0.048909,0.23699,0.106862,0.048256,0.148642,0.290038,0.333587,0.395092,0.343577,0.391837,0.049478,0.0758679999999999,0.062532,0.085252,0.036326,0.00192700000000001,0.058177,0.150362,0.257905,0.201773,0.168642,0,0.025115,0.106133,0.013022,0.243295,0.391777,0.084135,0.027505,0.088406,0.173611
"XH",0.023794,0.211875,0.131977,0.023141,0.123527,0.264923,0.308472,0.369977,0.318462,0.366722,0.074593,0.100983,0.087647,0.110367,0.061441,0.023188,0.033062,0.125247,0.23279,0.176658,0.143527,0.025115,0,0.081018,0.038137,0.21818,0.366662,0.10925,0.05262,0.113521,0.148496
"LT",0.0572240000000001,0.130857,0.212995,0.0578770000000001,0.042509,0.183905,0.227454,0.288959,0.237444,0.285704,0.155611,0.182001,0.168665,0.191385,0.142459,0.104206,0.047956,0.044229,0.151772,0.0956399999999999,0.062509,0.106133,0.081018,0,0.119155,0.137162,0.285644,0.190268,0.133638,0.194539,0.067478
"LX",0.061931,0.250012,0.09384,0.0612779999999999,0.161664,0.30306,0.346609,0.408114,0.356599,0.404859,0.036456,0.062846,0.0495100000000001,0.07223,0.023304,0.014949,0.071199,0.163384,0.270927,0.214795,0.181664,0.013022,0.038137,0.119155,0,0.256317,0.404799,0.071113,0.014483,0.075384,0.186633
"DY",0.194386,0.00630500000000001,0.350157,0.195039,0.094653,0.046743,0.090292,0.151797,0.100282,0.148542,0.292773,0.319163,0.305827,0.328547,0.279621,0.241368,0.185118,0.092933,0.01461,0.0415220000000001,0.074653,0.243295,0.21818,0.137162,0.256317,0,0.148482,0.32743,0.2708,0.331701,0.069684
"JEM",0.342868,0.154787,0.498639,0.343521,0.243135,0.101739,0.05819,0.00331499999999996,0.0482,6.00000000000045e-05,0.441255,0.467645,0.454309,0.477029,0.428103,0.38985,0.3336,0.241415,0.133872,0.190004,0.223135,0.391777,0.366662,0.285644,0.404799,0.148482,0,0.475912,0.419282,0.480183,0.218166
"HZ",0.133044,0.321125,0.0227270000000001,0.132391,0.232777,0.374173,0.417722,0.479227,0.427712,0.475972,0.0346569999999999,0.00826700000000002,0.0216029999999999,0.00111700000000003,0.047809,0.086062,0.142312,0.234497,0.34204,0.285908,0.252777,0.084135,0.10925,0.190268,0.071113,0.32743,0.475912,0,0.05663,0.00427100000000002,0.257746
"GL",0.076414,0.264495,0.079357,0.075761,0.176147,0.317543,0.361092,0.422597,0.371082,0.419342,0.021973,0.0483629999999999,0.035027,0.057747,0.00882099999999997,0.029432,0.085682,0.177867,0.28541,0.229278,0.196147,0.027505,0.05262,0.133638,0.014483,0.2708,0.419282,0.05663,0,0.060901,0.201116
"DL",0.137315,0.325396,0.018456,0.136662,0.237048,0.378444,0.421993,0.483498,0.431983,0.480243,0.038928,0.012538,0.025874,0.00315399999999999,0.05208,0.090333,0.146583,0.238768,0.346311,0.290179,0.257048,0.088406,0.113521,0.194539,0.075384,0.331701,0.480183,0.00427100000000002,0.060901,0,0.262017
"YZ",0.124702,0.063379,0.280473,0.125355,0.024969,0.116427,0.159976,0.221481,0.169966,0.218226,0.223089,0.249479,0.236143,0.258863,0.209937,0.171684,0.115434,0.0232490000000001,0.084294,0.0281619999999999,0.004969,0.173611,0.148496,0.067478,0.186633,0.069684,0.218166,0.257746,0.201116,0.262017,0
